"inst_id","type","name","department","address","city","state","zip"
"1","Data Analytics","S&P Global","Development","26533 Evergreen Road","Southfield","Michigan","48076"
"2","Academia","Michigan State University","Computer Engineering","MSU","East Lansing","Michigan","48823"
